Date,Time,Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume
2/8/18, 18:33:00.0,2598.25,2602,2598.25,2599,961,589,442,519
2/8/18, 18:36:00.0,2599,2599.5,2594.5,2597.25,1455,864,969,486
2/8/18, 18:39:00.0,2597.5,2598,2595.25,2597,568,369,347,221
2/8/18, 18:42:00.0,2597,2600,2596.75,2598.75,511,381,202,309
2/8/18, 18:45:00.0,2599,2599,2595.25,2596.75,638,418,396,242
2/8/18, 18:48:00.0,2596.75,2601.5,2596.5,2601.25,736,518,343,393
2/8/18, 18:51:00.0,2601.25,2601.5,2597.25,2597.75,542,438,340,202
2/8/18, 18:54:00.0,2598,2599,2597.5,2598,404,242,199,205
2/8/18, 18:57:00.0,2598,2599.75,2597.5,2599.5,228,179,105,123
2/8/18, 19:00:00.0,2599.75,2601,2598.5,2600.25,978,649,520,458
2/8/18, 19:03:00.0,2600,2601.5,2600,2601,415,286,153,262
2/8/18, 19:06:00.0,2601.25,2602.5,2601.25,2602.25,963,598,344,619
2/8/18, 19:09:00.0,2602.5,2605.5,2601.5,2605,1613,872,671,942
2/8/18, 19:12:00.0,2604.75,2605.5,2604,2604.25,992,586,531,461
2/8/18, 19:15:00.0,2604.5,2608.25,2604.25,2608.25,1890,1111,662,1228
2/8/18, 19:18:00.0,2608.25,2609.5,2608,2608,1311,844,540,771
2/8/18, 19:21:00.0,2608,2610.25,2607,2609,2692,1461,1308,1384
2/8/18, 19:24:00.0,2609.25,2609.5,2605.75,2606.5,1533,965,926,607
2/8/18, 19:27:00.0,2606.75,2606.75,2604.5,2605.5,755,458,480,275
2/8/18, 19:30:00.0,2605.5,2606,2600.5,2601.25,1547,955,1040,507
2/8/18, 19:33:00.0,2601.25,2603.75,2598.5,2602.5,1883,1197,937,946
2/8/18, 19:36:00.0,2602.5,2604.75,2601.5,2604,1402,860,637,765
2/8/18, 19:39:00.0,2604.25,2605,2602.5,2603.25,1124,761,596,528
2/8/18, 19:42:00.0,2603.25,2603.75,2599.75,2603.5,1313,855,689,624
2/8/18, 19:45:00.0,2603.5,2603.75,2597.25,2598.5,1119,774,607,512
2/8/18, 19:48:00.0,2598.75,2601.25,2598,2601.25,979,712,412,567
2/8/18, 19:51:00.0,2601.25,2601.75,2598.5,2598.75,1293,929,731,562
2/8/18, 19:54:00.0,2598.5,2598.5,2595.25,2596.75,1198,820,678,520
